n-gram,PMI
biological males,8.075919972763838
biological females,7.23274423405325
biological differences,6.729827998864298
biological sex,6.703108056056724
healthy biological,6.360594189198579
biological reality,6.360594189198576
biological male,5.805075466369907
biological sexes,5.682522284085941
allowing biological,5.665448770727
prevent biological,5.650100806393564
biological men,5.413061609092715
biological boys,5.200129517005333
against biological,4.959940608082391
their biological,4.845046551596287
allow biological,4.818066954797818
biological boy,4.779070772444193
biological man,4.676096014926507
opposite biological,4.452787887408327
biological fact,4.447471639878543
biological women,3.84002227574738
biological girl,3.671172136287222
biological female,3.618215098846008
two biological,3.5972004697547284
over biological,3.575167106075728
biological woman,3.3032001832747397
biological girls,3.0508408082573197
a biological,2.5039623081044127
other biological,2.1690766572619076
commenting biological,2.1679491112561813
s biological,1.5666338240855815
biological gender,1.4916714437890803
her biological,1.4808120541526932
with biological,1.3532837802591295
that biological,1.0955020112324831
on biological,1.0856099539317015
from biological,0.8853952547029635
of biological,0.8656909965089561
as biological,0.5329364406465871
by biological,0.522590896316224
are biological,0.4116707914385884
for biological,0.2583717847736544
the biological,0
to biological,0
and biological,0
biological and,0
