title,dateTime
Ad Slams Democrat Mark Kelly for Support of Men Competing in Women’s Sports,2022-10-21T12:26:07Z
Ad Slams Democrat Mark Kelly for Support of Men Competing in Women’s Sports,2022-10-21T12:26:07Z
Report: Democrat Cheri Beasley Previously Defended Child Sex Change Surgeries,2022-10-21T09:07:04Z
Report: Democrat Cheri Beasley Previously Defended Child Sex Change Surgeries,2022-10-21T09:07:04Z
"Sarah Silverman Explodes After Herschel Walker Says If You Can’t Produce a Child, You’re a Man: ‘F**k You,’ ‘Go to the Stupid Fiery Hell’ You Believe In",2022-10-21T08:48:20Z
"Sarah Silverman Explodes After Herschel Walker Says If You Can’t Produce a Child, You’re a Man: ‘F**k You,’ ‘Go to the Stupid Fiery Hell’ You Believe In",2022-10-21T08:48:20Z
Muslim Parents in Michigan Protest Sexually Explicit Books in Schools,2022-10-20T16:54:16Z
Muslim Parents in Michigan Protest Sexually Explicit Books in Schools,2022-10-20T16:54:16Z
"Teachers Attend Conference to ‘Decolonize our Minds,’ Push ‘Intersectional Feminism’",2022-10-20T08:00:33Z
"Teachers Attend Conference to ‘Decolonize our Minds,’ Push ‘Intersectional Feminism’",2022-10-20T08:00:33Z
VIDEO: North Carolina High Schools Cancel Volleyball Games Against One School After Transgender Player Injures Girl,2022-10-19T20:11:18Z
VIDEO: North Carolina High Schools Cancel Volleyball Games Against One School After Transgender Player Injures Girl,2022-10-19T20:11:18Z
Democrat Abigail Spanberger Takes Cash from VA State Rep Seeking to Jail Parents Who Won’t Affirm ‘Trans’ Children,2022-10-19T08:54:52Z
Democrat Abigail Spanberger Takes Cash from VA State Rep Seeking to Jail Parents Who Won’t Affirm ‘Trans’ Children,2022-10-19T08:54:52Z
"Gov. Pritzker Praises Ulta for Interview on Motherhood with Transgender, ‘Genderfluid’ Men",2022-10-18T18:21:33Z
"Gov. Pritzker Praises Ulta for Interview on Motherhood with Transgender, ‘Genderfluid’ Men",2022-10-18T18:21:33Z
Youngkin Slams Bill Creating Felony for Parents Not ‘Affirming’ Child’s Gender Identity,2022-10-18T14:24:21Z
Youngkin Slams Bill Creating Felony for Parents Not ‘Affirming’ Child’s Gender Identity,2022-10-18T14:24:21Z
Kristi Noem Launches Ad on Protecting Women’s Sports,2022-10-18T13:43:16Z
Kristi Noem Launches Ad on Protecting Women’s Sports,2022-10-18T13:43:16Z
"Ulta Beauty Hosts Interview with Transgender, ‘Genderfluid,’ Men Discussing Motherhood, Girlhood",2022-10-18T08:50:30Z
"Ulta Beauty Hosts Interview with Transgender, ‘Genderfluid,’ Men Discussing Motherhood, Girlhood",2022-10-18T08:50:30Z
Poll: GOP Hung Cao Just 2 Points Behind Far-Left Democrat Rep. Jennifer Wexton in VA-10,2022-10-18T08:21:37Z
Poll: GOP Hung Cao Just 2 Points Behind Far-Left Democrat Rep. Jennifer Wexton in VA-10,2022-10-18T08:21:37Z
"HBO’s John Oliver Defends Transgender Medical Procedures for Minors: ‘When Supported, Trans Kids Can Experience Full, Vibrant Lives’",2022-10-17T12:00:56Z
"HBO’s John Oliver Defends Transgender Medical Procedures for Minors: ‘When Supported, Trans Kids Can Experience Full, Vibrant Lives’",2022-10-17T12:00:56Z
How Conservative! Tory MP Demands Prime Minister Resigns Over Attacks on ‘Transgender Rights’,2022-10-17T10:05:45Z
How Conservative! Tory MP Demands Prime Minister Resigns Over Attacks on ‘Transgender Rights’,2022-10-17T10:05:45Z
Democrat Abigail Spanberger Skips Debate After Joining Lawmaker Seeking to Jail Parents Who Do Not Affirm Transgender Children,2022-10-16T19:16:22Z
Democrat Abigail Spanberger Skips Debate After Joining Lawmaker Seeking to Jail Parents Who Do Not Affirm Transgender Children,2022-10-16T19:16:22Z
Jamie Lee Curtis Terrified of ‘Transphobia’ Toward Her M2F Child: ‘We Haven’t Learned from Fascism’,2022-10-16T12:03:04Z
Jamie Lee Curtis Terrified of ‘Transphobia’ Toward Her M2F Child: ‘We Haven’t Learned from Fascism’,2022-10-16T12:03:04Z
J.K. Rowling: Scotland’s ‘Feminist’ First Minister Putting Women at Risk with Trans Ideology,2022-10-16T06:18:00Z
J.K. Rowling: Scotland’s ‘Feminist’ First Minister Putting Women at Risk with Trans Ideology,2022-10-16T06:18:00Z
Boston Children’s Hospital Claims Puberty Blockers ‘Completely Reversible’; Director Admits They Cause Infertility During Use,2022-10-15T08:00:55Z
Boston Children’s Hospital Claims Puberty Blockers ‘Completely Reversible’; Director Admits They Cause Infertility During Use,2022-10-15T08:00:55Z
Democrat Spanberger Campaigned with Lawmaker Who Seeks to Jail Parents for Not ‘Affirming’ Child’s Gender Identity,2022-10-14T18:15:48Z
Democrat Spanberger Campaigned with Lawmaker Who Seeks to Jail Parents for Not ‘Affirming’ Child’s Gender Identity,2022-10-14T18:15:48Z
Exclusive — Tudor Dixon: Gretchen Whitmer Willing to Freeze People to Death ‘Because of Her Environmental Religion’,2022-10-14T11:12:24Z
Exclusive — Tudor Dixon: Gretchen Whitmer Willing to Freeze People to Death ‘Because of Her Environmental Religion’,2022-10-14T11:12:24Z
Trans Advocates Train Doctors How to Break Down Parents’ Resistance to Child Sex Changes,2022-10-13T09:45:57Z
Trans Advocates Train Doctors How to Break Down Parents’ Resistance to Child Sex Changes,2022-10-13T09:45:57Z
‘Stand Down’: 13 State AGs Tell Merrick Garland Not to Prosecute Child Transition Surgery Critics,2022-10-13T08:26:58Z
‘Stand Down’: 13 State AGs Tell Merrick Garland Not to Prosecute Child Transition Surgery Critics,2022-10-13T08:26:58Z
Advertisement Blasts Democrat Mark Kelly for Supporting Transgender Ideology,2022-10-12T11:50:32Z
Advertisement Blasts Democrat Mark Kelly for Supporting Transgender Ideology,2022-10-12T11:50:32Z
"WATCH: Therapist Gets Sex Change Operations Approved in ‘As Few Sessions as Possible,’ Acts as ‘Ally’",2022-10-12T08:00:34Z
"WATCH: Therapist Gets Sex Change Operations Approved in ‘As Few Sessions as Possible,’ Acts as ‘Ally’",2022-10-12T08:00:34Z
