title,dateTime
‘Harry Potter’ Star Tom Felton Refuses to Trash J.K. Rowling over Her Stance that Transgender Ideology Could Erase Womanhood,2022-10-12T06:10:31Z
‘Harry Potter’ Star Tom Felton Refuses to Trash J.K. Rowling over Her Stance that Transgender Ideology Could Erase Womanhood,2022-10-12T06:10:31Z
Like Removing a Mole: President-Elect of Trans Organization Advocates for Sex Change Surgery on Minors,2022-10-11T08:00:40Z
Like Removing a Mole: President-Elect of Trans Organization Advocates for Sex Change Surgery on Minors,2022-10-11T08:00:40Z
Only 53 Per Cent of Gen Z Britons Are ‘Exclusively Straight’ – Stonewall Research,2022-10-11T06:03:28Z
Only 53 Per Cent of Gen Z Britons Are ‘Exclusively Straight’ – Stonewall Research,2022-10-11T06:03:28Z
Gender Clinic Doctor: Transition Regret of Minors ‘Doesn’t Surprise Me’,2022-10-10T21:25:38Z
Gender Clinic Doctor: Transition Regret of Minors ‘Doesn’t Surprise Me’,2022-10-10T21:25:38Z
"WATCH: Director of Boston Children’s Gender Clinic Says Puberty Blockers Cause Infertility, Are Given Out ‘Like Candy’",2022-10-10T08:00:16Z
"WATCH: Director of Boston Children’s Gender Clinic Says Puberty Blockers Cause Infertility, Are Given Out ‘Like Candy’",2022-10-10T08:00:16Z
"Woke Broadway Revival of Classic ‘1776’ Musical Casts Transgender, ‘Non-Binary’ Actors: ‘Trans People Have Always Existed — They Existed in 1776’",2022-10-09T11:57:02Z
"Woke Broadway Revival of Classic ‘1776’ Musical Casts Transgender, ‘Non-Binary’ Actors: ‘Trans People Have Always Existed — They Existed in 1776’",2022-10-09T11:57:02Z
"Youngkin Claims Policies Respect Trans Youth Bathroom, Pronoun Preferences",2022-10-09T06:51:41Z
"Youngkin Claims Policies Respect Trans Youth Bathroom, Pronoun Preferences",2022-10-09T06:51:41Z
Jon Stewart Apologizes for His Past ‘Sh*tty and Reductive’ Transgender Jokes: ‘We Are in a New Dawn of Gender and Sex Complexity’,2022-10-08T07:13:06Z
Jon Stewart Apologizes for His Past ‘Sh*tty and Reductive’ Transgender Jokes: ‘We Are in a New Dawn of Gender and Sex Complexity’,2022-10-08T07:13:06Z
